#{"t_start": 1599155080.555397, "env_id": null}
r,l,t
-0.010965,1000,2.721679
-0.010876,1000,4.236972
-0.010466,1000,5.737482
-0.009796,1000,7.203993
-0.009079,1000,8.648889
-0.00909,1000,10.125337
-0.00792,1000,11.696747
-0.007608,1000,13.049759
-0.007374,1000,14.403599
-0.007774,1000,15.786696
-0.007712,1000,17.174802
-0.006859,1000,18.519485
-0.006433,1000,20.016031
-0.007581,1000,21.541407
-0.007346,1000,22.930025
-0.007191,1000,24.341623
-0.007811,1000,25.814958
-0.008085,1000,27.353718
-0.007232,1000,28.76012
-0.007258,1000,30.217569
-0.007115,1000,31.693904
-0.007251,1000,33.092255
-0.007029,1000,34.53133
-0.008005,1000,35.991597
-0.007088,1000,37.457192
-0.008276,1000,38.963392
-0.007666,1000,40.450533
-0.007018,1000,42.060033
-0.007624,1000,43.781506
-0.008243,1000,45.645649
-0.007175,1000,47.492691
-0.007067,1000,49.263553
-0.007191,1000,51.291983
-0.007394,1000,52.907555
-0.006961,1000,54.59947
-0.007407,1000,56.148638
-0.007067,1000,57.647641
-0.006868,1000,59.034867
-0.007119,1000,60.519629
-0.007399,1000,61.977382
-0.007569,1000,63.486481
-0.007861,1000,65.029116
-0.007516,1000,66.746486
-0.007469,1000,68.231829
-0.007992,1000,69.814431
-0.008524,1000,72.18488
-0.007976,1000,75.73331
-0.007683,1000,77.277675
-0.007551,1000,78.741482
-0.006603,1000,80.239188
-0.008269,1000,81.796808
-0.007323,1000,83.978786
-0.0068,1000,85.9142
-0.007866,1000,87.657542
-0.007137,1000,89.137491
-0.007164,1000,90.673197
-0.007378,1000,92.304135
-0.007057,1000,93.813357
-0.008127,1000,95.454463
-0.007674,1000,97.045568
-0.008012,1000,98.711718
-0.007429,1000,100.223648
-0.007764,1000,101.73565
-0.006932,1000,103.306255
-0.006723,1000,104.816162
-0.008281,1000,106.390743
-0.007365,1000,107.881326
-0.007132,1000,109.534311
-0.007367,1000,111.056343
-0.007865,1000,112.487597
-0.007974,1000,113.925015
-0.00766,1000,115.407839
-0.007483,1000,116.789579
-0.006711,1000,118.163783
-0.006827,1000,119.471431
-0.006046,1000,120.775939
-0.006921,1000,122.116453
-0.006171,1000,123.586048
-0.007226,1000,124.964065
-0.00653,1000,126.37212
-0.008096,1000,127.843034
-0.007725,1000,129.240783
-0.006688,1000,130.622222
-0.007892,1000,132.064699
-0.008387,1000,133.497514
-0.008429,1000,135.011193
-0.00734,1000,136.494423
-0.008314,1000,138.006899
-0.007496,1000,139.571349
-0.008127,1000,141.205736
-0.007452,1000,142.642342
-0.008121,1000,144.136627
-0.008565,1000,145.680557
-0.006713,1000,147.119407
-0.007903,1000,148.621494
-0.00815,1000,150.062507
-0.007734,1000,151.472168
-0.007534,1000,152.909844
-0.007589,1000,154.328756
